
=== 第 1 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
normal  第6章    303    1.58   2.5     83    7%      13%     39%       100%    73%
elite   第1章    51     2.94   3.5     22    18%     18%     49%       75%     74%
elite   第2章    226    3.68   3.5     21    20%     18%     77%       79%     49%
elite   第3章    303    2.90   3.5     29    27%     18%     68%       83%     52%
elite   第4章    370    3.06   3.5     50    25%     18%     73%       71%     66%
elite   第5章    384    2.29   3.5     83    18%     18%     92%       100%    97%
elite   第6章    416    2.30   3.5     83    24%     18%     67%       96%     80%
boss    第1章    60     2.89   4.5     12    27%     22%     50%       38%     46%
boss    第2章    272    3.81   4.5     25    25%     22%     69%       67%     70%
boss    第3章    367    3.67   4.5     34    24%     22%     73%       75%     69%
boss    第4章    425    3.00   4.5     62    40%     22%     82%       29%     77%
boss    第5章    494    3.05   4.5     83    24%     22%     82%       88%     91%
boss    第6章    540    2.50   4.5     83    30%     22%     76%       92%     91%
（本轮击杀回合最大偏差 44%）

=== 第 5 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    42     2.00   2.0     18    8%      8%      38%       100%    36%
mob     第2章    109    1.83   2.0     37    9%      8%      40%       100%    59%
mob     第3章    151    1.83   2.0     44    9%      8%      45%       100%    55%
mob     第4章    238    1.60   2.0     199   45%     8%      85%       63%     199%
mob     第5章    246    1.50   2.0     90    11%     8%      54%       100%    88%
mob     第6章    245    1.50   2.0     199   19%     8%      98%       100%    165%
normal  第1章    51     2.50   2.5     18    14%     13%     52%       100%    52%
normal  第2章    137    2.46   2.5     35    15%     13%     51%       100%    62%
normal  第3章    227    2.50   2.5     41    15%     13%     63%       100%    52%
normal  第4章    272    1.96   2.5     70    14%     13%     96%       100%    85%
normal  第5章    367    2.13   2.5     92    13%     13%     60%       100%    98%
normal  第6章    425    2.13   2.5     137   25%     13%     93%       96%     121%
elite   第1章    58     3.47   3.5     22    20%     18%     49%       71%     75%
elite   第2章    218    3.28   3.5     19    22%     18%     80%       75%     43%
elite   第3章    346    3.16   3.5     22    23%     18%     83%       79%     39%
elite   第4章    408    3.75   3.5     40    20%     18%     58%       67%     52%
elite   第5章    526    2.65   3.5     82    24%     18%     70%       83%     95%
elite   第6章    568    2.68   3.5     68    20%     18%     71%       92%     66%
boss    第1章    42     2.50   4.5     11    19%     22%     47%       83%     42%
boss    第2章    306    4.21   4.5     23    23%     22%     71%       58%     64%
boss    第3章    426    4.45   4.5     31    20%     22%     62%       83%     63%
boss    第4章    297    2.70   4.5     43    21%     22%     59%       96%     54%
boss    第5章    659    3.13   4.5     78    25%     22%     69%       67%     85%
boss    第6章    842    3.60   4.5     67    29%     22%     70%       63%     74%
（本轮击杀回合最大偏差 44%）

=== 第 6 轮（攻击力对准每回合压力，血量对准击杀回合） ===
档位      章节     HP     回合     →目标     ATK   压力      →目标     最凶回合      胜率      意图上界
mob     第1章    42     2.00   2.0     18    8%      8%      32%       100%    36%
mob     第2章    116    1.75   2.0     33    7%      8%      51%       100%    50%
mob     第3章    161    1.96   2.0     41    8%      8%      36%       100%    51%
mob     第4章    280    2.13   2.0     102   22%     8%      71%       96%     107%
mob     第5章    304    1.96   2.0     75    11%     8%      47%       100%    73%
mob     第6章    302    1.75   2.0     119   12%     8%      77%       100%    98%
normal  第1章    51     2.54   2.5     16    12%     13%     45%       100%    45%
normal  第2章    138    2.50   2.5     31    12%     13%     47%       100%    56%
normal  第3章    227    2.58   2.5     38    14%     13%     63%       100%    49%
normal  第4章    324    2.61   2.5     67    15%     13%     52%       96%     81%
normal  第5章    412    2.33   2.5     91    13%     13%     71%       100%    98%
normal  第6章    477    2.21   2.5     91    18%     13%     71%       100%    81%
elite   第1章    58     3.60   3.5     21    18%     18%     49%       63%     72%
elite   第2章    228    3.20   3.5     17    16%     18%     71%       83%     38%
elite   第3章    373    3.53   3.5     18    23%     18%     65%       71%     32%
elite   第4章    389    3.36   3.5     37    15%     18%     52%       92%     49%
elite   第5章    644    3.38   3.5     67    16%     18%     62%       88%     78%
elite   第6章    689    3.08   3.5     62    19%     18%     53%       100%    59%
boss    第1章    66     3.29   4.5     12    27%     22%     50%       29%     46%
boss    第2章    321    4.61   4.5     22    20%     22%     61%       75%     61%
boss    第3章    429    3.92   4.5     34    27%     22%     67%       50%     69%
boss    第4章    436    3.71   4.5     44    25%     22%     61%       71%     58%
boss    第5章    862    4.58   4.5     71    21%     22%     80%       79%     78%
boss    第6章    990    4.20   4.5     56    21%     22%     67%       83%     61%
（本轮击杀回合最大偏差 27%）

=== 复核（写进去的最终值，逐格实测） ===
档位      章节     HP     回合     目标     ATK   每回合压力      最凶回合      胜率      意图上界
mob     第1章    42     2.00   2.0    17    8%         35%       100%    36%
mob     第2章    127    2.00   2.0    35    11%        54%       100%    53%
mob     第3章    164    2.00   2.0    41    8%         42%       100%    54%
mob     第4章    268    2.08   2.0    56    10%        59%       100%    57%
mob     第5章    308    2.04   2.0    62    8%         48%       100%    61%
mob     第6章    332    1.83   2.0    92    9%         46%       100%    77%
normal  第1章    50     2.33   2.5    17    13%        46%       100%    48%
normal  第2章    138    2.42   2.5    40    17%        76%       100%    72%
normal  第3章    222    2.50   2.5    46    13%        55%       100%    57%
normal  第4章    315    2.33   2.5    60    11%        70%       100%    72%
normal  第5章    433    2.46   2.5    88    18%        72%       100%    95%
normal  第6章    521    2.39   2.5    103   21%        73%       96%     92%
elite   第1章    57     3.84   3.5    20    16%        43%       79%     68%
elite   第2章    243    3.29   3.5    44    42%        98%       29%     100%
elite   第3章    371    3.00   3.5    52    44%        87%       25%     93%
elite   第4章    400    2.00   3.5    67    38%        93%       33%     89%
elite   第5章    660    3.00   3.5    99    32%        84%       63%     115%
elite   第6章    754    2.78   3.5    115   41%        98%       38%     111%
boss    第1章    46     2.00   4.5    23    42%        94%       42%     89%
boss    第2章    315    2.00   4.5    50    55%        93%       4%      139%
boss    第3章    474    0.00   4.5    58    50%        99%       0%      116%
boss    第4章    502    3.00   4.5    76    47%        90%       4%      96%
boss    第5章    851    4.33   4.5    111   38%        100%      25%     121%
boss    第6章    1039   3.00   4.5    129   59%        100%      4%      141%

新的 enemyHp 表：
    mob: [42, 127, 164, 268, 308, 332],
    normal: [50, 138, 222, 315, 433, 521],
    elite: [57, 243, 371, 400, 660, 754],
    boss: [46, 315, 474, 502, 851, 1039],
新的 enemyAtk 表：
    mob: [17, 35, 41, 56, 62, 92],
    normal: [17, 40, 46, 60, 88, 103],
    elite: [20, 44, 52, 67, 99, 115],
    boss: [23, 50, 58, 76, 111, 129],
（校验：每一章的攻击力都必须 杂兵 < 较强 < 精英 < 首领，且首领不低于玩家的攻击力档次）
    第1章 17 < 17 < 20 < 23 ✗ 顺序不对
    第2章 35 < 40 < 44 < 50 ✓
    第3章 41 < 46 < 52 < 58 ✓
    第4章 56 < 60 < 67 < 76 ✓
    第5章 62 < 88 < 99 < 111 ✓
    第6章 92 < 103 < 115 < 129 ✓

已写入 src/data/balance.js
